,Host,Dokumente,Land,Date
1828,"Journal of STEM (Science, Technology, Engineering and Math) Education: Innovations and Research",99,au,2007-09-14
1829,Ciência da Informação (E-Journal),1214,br,2007-09-14
1830,Victoria Univ. of Wellington: ResearchArchive@Victoria,2137,nz,2007-09-13
1831,epress - Electronic Publishing Resource Service,1319,uk,2007-09-13
1832,Auckland Univ. of Technology: Scholarly Commons @ AUT,2161,nz,2007-09-13
1833,Univ. of Louisville Digital Collections,20708,us,2007-09-12
1834,Univ. de Montréal: Calypso - Collections d'objets numériques,20288,ca,2007-09-12
1835,The Univ. of Auckland: ResearchSpace@Auckland,14431,nz,2007-09-12
1836,University of Illinois at Chicago: UIC INDIGO (INtellectual property in DIGital form available online in an Open environment),7743,us,2007-09-11
1837,"The Univ. of Manchester, School of Mathematics: MIMS EPrints",1363,uk,2007-09-11
1838,The Marine Biological Association (MBA): Marine & Ocean Science ePrints Archive @ Plymouth,2249,uk,2007-09-11
1839,Middlesex Univ. Digital Repository,2097,uk,2007-09-11
1840,Univ. of St Andrews: Digital Research Repository,1870,uk,2007-08-29
1841,Högskolan i Borås: Borås Academic Digital Archive (BADA),9286,se,2007-08-29
1842,OPUS-PHLB - Hochschulschriftenserver der Pädagogischen Hochschule Ludwigsburg,33,de,2007-08-28
1843,OPUS-PHFR - Hochschulschriftenserver der Pädagogischen Hochschule Freiburg,368,de,2007-08-28
1844,Univ. of Westminster: WestminsterResearch,9965,uk,2007-08-15
1845,Examensarbeten vid Blekinge Tekniska Högskola (Arkiv EX),3463,se,2007-08-15
1846,Valtion teknillinen tutkimuskeskus / VTT Technical Research Centre of Finland,5063,fi,2007-08-14
1847,University of Patras: Kosmopolis / Πανεπιστήμιο Πατρών: Κοσμόπολις,33794,gr,2007-08-14
1848,Virtuelle Fachbibliothek Südasien: SavifaDok (Universität Heidelberg),2370,de,2007-08-10
1849,Virtuelle Fachbibliothek Kunstgeschichte: ART-Dok (Universität Heidelberg),1924,de,2007-08-10
1850,Virtuelle Fachbibliothek Altertumswissenschaft: Propylaeum-DOK (UniversitätHeidelberg),1346,de,2007-08-10
1851,Univ. of Guelph: DSpace digital archive,2919,ca,2007-08-10
1852,OAR - het Open Archief van VIOE-publicaties (Vlaams instituut voor het Onroerend Erfgoed),184,be,2007-08-02
1853,Nederlandse Organisatie voor Wetenschappelijk Onderzoek: CWI (Centrum voor Wiskunde en Informatica),1222,nl,2007-08-02
1854,IMISCOE - International Migration Integration Social Cohesion,1225,nl,2007-08-02
1855,General Teaching Council for Northern Ireland Repository (GTCNI): ARRT Space (Access to Research Resources for Teachers Space),699,uk,2007-08-02
1856,Australian Computer Society: ACS Digital Library,250,au,2007-08-02
